judul,harga,rating,link,deskripsi,deskripsi_cleaned,author
A Light in the Attic,51.77,3,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,"It's hard to imagine a world without A Light in the Attic. This now-classic collection of poetry and drawings from Shel Silverstein celebrates its 20th anniversary with this special edition. Silverstein's humorous and creative verse can amuse the dowdiest of readers. Lemon-faced adults and fidgety kids sit still and read these rhythmic words and laugh and smile and love th It's hard to imagine a world without A Light in the Attic. This now-classic collection of poetry and drawings from Shel Silverstein celebrates its 20th anniversary with this special edition. Silverstein's humorous and creative verse can amuse the dowdiest of readers. Lemon-faced adults and fidgety kids sit still and read these rhythmic words and laugh and smile and love that Silverstein. Need proof of his genius? RockabyeRockabye baby, in the treetopDon't you know a treetopIs no safe place to rock?And who put you up there,And your cradle, too?Baby, I think someone down here'sGot it in for you. Shel, you never sounded so good. ...more",it s hard to imagine a world without a light in the attic this now classic collection of poetry and drawings from shel silverstein celebrates its th anniversary with this special edition silverstein s humorous and creative verse can amuse the dowdiest of readers lemon faced adults and fidgety kids sit still and read these rhythmic words and laugh and smile and love th it s hard to imagine a world without a light in the attic this now classic collection of poetry and drawings from shel silverstein celebrates its th anniversary with this special edition silverstein s humorous and creative verse can amuse the dowdiest of readers lemon faced adults and fidgety kids sit still and read these rhythmic words and laugh and smile and love that silverstein need proof of his genius rockabyerockabye baby in the treetopdon t you know a treetopis no safe place to rock and who put you up there and your cradle too baby i think someone down here sgot it in for you shel you never sounded so good more,Shel Silverstein
Tipping the Velvet,53.74,1,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,"""Erotic and absorbing...Written with starling power.""--""The New York Times Book Review "" Nan King, an oyster girl, is captivated by the music hall phenomenon Kitty Butler, a male impersonator extraordinaire treading the boards in Canterbury. Through a friend at the box office, Nan manages to visit all her shows and finally meet her heroine. Soon after, she becomes Kitty's ""Erotic and absorbing...Written with starling power.""--""The New York Times Book Review "" Nan King, an oyster girl, is captivated by the music hall phenomenon Kitty Butler, a male impersonator extraordinaire treading the boards in Canterbury. Through a friend at the box office, Nan manages to visit all her shows and finally meet her heroine. Soon after, she becomes Kitty's dresser and the two head for the bright lights of Leicester Square where they begin a glittering career as music-hall stars in an all-singing and dancing double act. At the same time, behind closed doors, they admit their attraction to each other and their affair begins. ...more", erotic and absorbing written with starling power the new york times book review nan king an oyster girl is captivated by the music hall phenomenon kitty butler a male impersonator extraordinaire treading the boards in canterbury through a friend at the box office nan manages to visit all her shows and finally meet her heroine soon after she becomes kitty s erotic and absorbing written with starling power the new york times book review nan king an oyster girl is captivated by the music hall phenomenon kitty butler a male impersonator extraordinaire treading the boards in canterbury through a friend at the box office nan manages to visit all her shows and finally meet her heroine soon after she becomes kitty s dresser and the two head for the bright lights of leicester square where they begin a glittering career as music hall stars in an all singing and dancing double act at the same time behind closed doors they admit their attraction to each other and their affair begins more,Sarah Waters
Soumission,50.1,1,http://books.toscrape.com/catalogue/soumission_998/index.html,"Dans une France assez proche de la nôtre, un homme s’engage dans la carrière universitaire. Peu motivé par l’enseignement, il s’attend à une vie ennuyeuse mais calme, protégée des grands drames historiques. Cependant les forces en jeu dans le pays ont fissuré le système politique jusqu’à provoquer son effondrement. Cette implosion sans soubresauts, sans vraie révolution, s Dans une France assez proche de la nôtre, un homme s’engage dans la carrière universitaire. Peu motivé par l’enseignement, il s’attend à une vie ennuyeuse mais calme, protégée des grands drames historiques. Cependant les forces en jeu dans le pays ont fissuré le système politique jusqu’à provoquer son effondrement. Cette implosion sans soubresauts, sans vraie révolution, se développe comme un mauvais rêve.Le talent de l’auteur, sa force visionnaire nous entraînent sur un terrain ambigu et glissant ; son regard sur notre civilisation vieillissante fait coexister dans ce roman les intuitions poétiques, les effets comiques, une mélancolie fataliste.Ce livre est une saisissante fable politique et morale. ...more",dans une france assez proche de la n tre un homme s engage dans la carri re universitaire peu motiv par l enseignement il s attend une vie ennuyeuse mais calme prot g e des grands drames historiques cependant les forces en jeu dans le pays ont fissur le syst me politique jusqu provoquer son effondrement cette implosion sans soubresauts sans vraie r volution s dans une france assez proche de la n tre un homme s engage dans la carri re universitaire peu motiv par l enseignement il s attend une vie ennuyeuse mais calme prot g e des grands drames historiques cependant les forces en jeu dans le pays ont fissur le syst me politique jusqu provoquer son effondrement cette implosion sans soubresauts sans vraie r volution se d veloppe comme un mauvais r ve le talent de l auteur sa force visionnaire nous entra nent sur un terrain ambigu et glissant son regard sur notre civilisation vieillissante fait coexister dans ce roman les intuitions po tiques les effets comiques une m lancolie fataliste ce livre est une saisissante fable politique et morale more,Michel Houellebecq
Sharp Objects,47.82,4,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,"WICKED above her hipbone, GIRL across her heart Words are like a road map to reporter Camille Preaker’s troubled past. Fresh from a brief stay at a psych hospital, Camille’s first assignment from the second-rate daily paper where she works brings her reluctantly back to her hometown to cover the murders of two preteen girls. NASTY on her kneecap, BABYDOLL on her leg Since WICKED above her hipbone, GIRL across her heart Words are like a road map to reporter Camille Preaker’s troubled past. Fresh from a brief stay at a psych hospital, Camille’s first assignment from the second-rate daily paper where she works brings her reluctantly back to her hometown to cover the murders of two preteen girls. NASTY on her kneecap, BABYDOLL on her leg Since she left town eight years ago, Camille has hardly spoken to her neurotic, hypochondriac mother or to the half-sister she barely knows: a beautiful thirteen-year-old with an eerie grip on the town. Now, installed again in her family’s Victorian mansion, Camille is haunted by the childhood tragedy she has spent her whole life trying to cut from her memory. HARMFUL on her wrist, WHORE on her ankle As Camille works to uncover the truth about these violent crimes, she finds herself identifying with the young victims—a bit too strongly. Clues keep leading to dead ends, forcing Camille to unravel the psychological puzzle of her own past to get at the story. Dogged by her own demons, Camille will have to confront what happened to her years before if she wants to survive this homecoming.With its taut, crafted writing, Sharp Objects is addictive, haunting, and unforgettable. ...more",wicked above her hipbone girl across her heart words are like a road map to reporter camille preaker s troubled past fresh from a brief stay at a psych hospital camille s first assignment from the second rate daily paper where she works brings her reluctantly back to her hometown to cover the murders of two preteen girls nasty on her kneecap babydoll on her leg since wicked above her hipbone girl across her heart words are like a road map to reporter camille preaker s troubled past fresh from a brief stay at a psych hospital camille s first assignment from the second rate daily paper where she works brings her reluctantly back to her hometown to cover the murders of two preteen girls nasty on her kneecap babydoll on her leg since she left town eight years ago camille has hardly spoken to her neurotic hypochondriac mother or to the half sister she barely knows a beautiful thirteen year old with an eerie grip on the town now installed again in her family s victorian mansion camille is haunted by the childhood tragedy she has spent her whole life trying to cut from her memory harmful on her wrist whore on her ankle as camille works to uncover the truth about these violent crimes she finds herself identifying with the young victims a bit too strongly clues keep leading to dead ends forcing camille to unravel the psychological puzzle of her own past to get at the story dogged by her own demons camille will have to confront what happened to her years before if she wants to survive this homecoming with its taut crafted writing sharp objects is addictive haunting and unforgettable more,Gillian Flynn
Sapiens: A Brief History of Humankind,54.23,5,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,"From a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be “human.”One hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only one—h From a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be “human.”One hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only one—homo sapiens. What happened to the others? And what may happen to us?Most books about the history of humanity pursue either a historical or a biological approach, but Dr. Yuval Noah Harari breaks the mold with this highly original book that begins about 70,000 years ago with the appearance of modern cognition. From examining the role evolving humans have played in the global ecosystem to charting the rise of empires, Sapiens integrates history and science to reconsider accepted narratives, connect past developments with contemporary concerns, and examine specific events within the context of larger ideas.Dr. Harari also compels us to look ahead, because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years. We are acquiring the ability to design not only the world around us, but also ourselves. Where is this leading us, and what do we want to become?Featuring 27 photographs, 6 maps, and 25 illustrations/diagrams, this provocative and insightful work is sure to spark debate and is essential reading for aficionados of Jared Diamond, James Gleick, Matt Ridley, Robert Wright, and Sharon Moalem. ...more",from a renowned historian comes a groundbreaking narrative of humanity s creation and evolution a international bestseller that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be human one hundred thousand years ago at least six different species of humans inhabited earth yet today there is only one h from a renowned historian comes a groundbreaking narrative of humanity s creation and evolution a international bestseller that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be human one hundred thousand years ago at least six different species of humans inhabited earth yet today there is only one homo sapiens what happened to the others and what may happen to us most books about the history of humanity pursue either a historical or a biological approach but dr yuval noah harari breaks the mold with this highly original book that begins about years ago with the appearance of modern cognition from examining the role evolving humans have played in the global ecosystem to charting the rise of empires sapiens integrates history and science to reconsider accepted narratives connect past developments with contemporary concerns and examine specific events within the context of larger ideas dr harari also compels us to look ahead because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years we are acquiring the ability to design not only the world around us but also ourselves where is this leading us and what do we want to become featuring photographs maps and illustrations diagrams this provocative and insightful work is sure to spark debate and is essential reading for aficionados of jared diamond james gleick matt ridley robert wright and sharon moalem more,BookNation
The Requiem Red,22.65,1,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,"Patient Twenty-nine.A monster roams the halls of Soothing Hills Asylum. Three girls dead. 29 is endowed with the curse…or gift of perception. She hears messages in music, sees lyrics in paintings. And the corn. A lifetime asylum resident, the orchestral corn music is the only constant in her life.Mason, a new, kind orderly, sees 29 as a woman, not a lunatic. And as his bel Patient Twenty-nine.A monster roams the halls of Soothing Hills Asylum. Three girls dead. 29 is endowed with the curse…or gift of perception. She hears messages in music, sees lyrics in paintings. And the corn. A lifetime asylum resident, the orchestral corn music is the only constant in her life.Mason, a new, kind orderly, sees 29 as a woman, not a lunatic. And as his belief in her grows, so does her self- confidence. That perhaps she might escape, might see the outside world. But the monster has other plans. The missing girls share one common thread...each was twenty-nine's cell mate. Will she be next? ...more",patient twenty nine a monster roams the halls of soothing hills asylum three girls dead is endowed with the curse or gift of perception she hears messages in music sees lyrics in paintings and the corn a lifetime asylum resident the orchestral corn music is the only constant in her life mason a new kind orderly sees as a woman not a lunatic and as his bel patient twenty nine a monster roams the halls of soothing hills asylum three girls dead is endowed with the curse or gift of perception she hears messages in music sees lyrics in paintings and the corn a lifetime asylum resident the orchestral corn music is the only constant in her life mason a new kind orderly sees as a woman not a lunatic and as his belief in her grows so does her self confidence that perhaps she might escape might see the outside world but the monster has other plans the missing girls share one common thread each was twenty nine s cell mate will she be next more,Brynn Chapman
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,"Drawing on his extensive experience evaluating applicants for his marketing agency, and featuring stories based on real-life situations, sample cover letters, resumes, and straightforward advice, Don Raskin’s The Dirty Little Secrets of Getting Your Dream Job offers all the necessary tools for navigating the tough job market and securing your dream job.Don Raskin owns and Drawing on his extensive experience evaluating applicants for his marketing agency, and featuring stories based on real-life situations, sample cover letters, resumes, and straightforward advice, Don Raskin’s The Dirty Little Secrets of Getting Your Dream Job offers all the necessary tools for navigating the tough job market and securing your dream job.Don Raskin owns and operates MME, an advertising and marketing agency in New York City. During his twenty-five years at the agency he has interviewed hundreds of new college graduates for positions within his agency and has placed a strong emphasis on entry-level recruitment for positions in creative, account management, traffic, and production. Raskin has also mentored countless students and their parents on best practices for the job search. Over the years, Raskin has kept exceptionally detailed notes on the interviews he has conducted, observing the good, the bad, the ridiculous, the irreverent. He also has a treasure trove of over-the-top cover letters, resumes, interviews, and post interview follow-ups he has conducted and received. Now, he wants to share all the wisdom and insider secrets he has gathered to help students and first-time job seekers find a job in this economy.Based on his remarkable expertise, Raskin's book provides exclusive insight into the job search process and lets readers in on all of the dirty little secrets to landing their first job—or a new one—and finding career success. ...more",drawing on his extensive experience evaluating applicants for his marketing agency and featuring stories based on real life situations sample cover letters resumes and straightforward advice don raskin s the dirty little secrets of getting your dream job offers all the necessary tools for navigating the tough job market and securing your dream job don raskin owns and drawing on his extensive experience evaluating applicants for his marketing agency and featuring stories based on real life situations sample cover letters resumes and straightforward advice don raskin s the dirty little secrets of getting your dream job offers all the necessary tools for navigating the tough job market and securing your dream job don raskin owns and operates mme an advertising and marketing agency in new york city during his twenty five years at the agency he has interviewed hundreds of new college graduates for positions within his agency and has placed a strong emphasis on entry level recruitment for positions in creative account management traffic and production raskin has also mentored countless students and their parents on best practices for the job search over the years raskin has kept exceptionally detailed notes on the interviews he has conducted observing the good the bad the ridiculous the irreverent he also has a treasure trove of over the top cover letters resumes interviews and post interview follow ups he has conducted and received now he wants to share all the wisdom and insider secrets he has gathered to help students and first time job seekers find a job in this economy based on his remarkable expertise raskin s book provides exclusive insight into the job search process and lets readers in on all of the dirty little secrets to landing their first job or a new one and finding career success more,Don Raskin
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,"""If you have a heart, if you have a soul, Karen Hicks' The Coming Woman will make you fall in love with Victoria Woodhull.""-Kinky Friedman, author and Governor of the Heart of Texas ""What kind of confidence would it take for a woman to buck the old boy's club of politics in 1872? More than 140 years pre-Hillary, there was Victoria Woodhull. This book takes you back with a ""If you have a heart, if you have a soul, Karen Hicks' The Coming Woman will make you fall in love with Victoria Woodhull.""-Kinky Friedman, author and Governor of the Heart of Texas ""What kind of confidence would it take for a woman to buck the old boy's club of politics in 1872? More than 140 years pre-Hillary, there was Victoria Woodhull. This book takes you back with a breathtaking, present-tense bird's eye view into a time when women's liberation was primarily confined to one woman's very capable, independent mind. I couldn't put it down.""---Ruth Buzzi, Golden Globe Award winner and Television Hall of Fame inductee""Sadly, too many Americans have never heard of Victoria Woodhull, let alone learned of her story: her revolutionary campaign for the presidency at a time when women weren't even allowed to vote, her support for worker's rights, or her feminist commitment to equality, a century before the official battle over the Equal Rights Amendment. But in The Coming Woman, Karen Hicks brings Woodhull's efforts to life, and reminds us that some of our nation's greatest figures aren't always featured in the history books. It is a riveting account of an amazing woman and her struggle for justice and human dignity, told in an engaging and eminently readable style.""-Tim Wise, author, ""White Like Me: Reflections on Race from a Privileged Son""""The Coming Woman"" is a novel based on the life of feminist Victoria Woodhull, the first woman to run for U.S. President, 50 years before women could even vote!Running for President wasn't Victoria's only first as a woman. She was also the first to own a successful Wall Street firm, the first to publish a successful national newspaper, and the first to head the two-million-member Spiritualist Association. She was the first woman to enter the Senate Judiciary Committee chambers to petition for woman's suffrage, her argument changing the entire focus of the suffragist movement by pointing out that the 14th and 15th Amendments already gave women the vote.In her campaign for the Presidency, Victoria Woodhull boldly addressed many of the issues we still face today: equal pay for equal work; freedom in love; corporate greed and political corruption fueled by powerful lobbyists; and the increasing disparity between the rich and the poor, to name only a few. Her outspoken and common-sense ideas may shed a new perspective on the parallel conundrums of today's world.This bold, beautiful, and sexually progressive woman dared to take on society and religion. To make an example of the hypocrisy in what Mark Twain dubbed The Gilded Age, she exposed the extramarital affairs of the most popular religious figure of the day (Henry Ward Beecher). This led to her persecution and imprisonment and the longest, most infamous trial of the 19th century. But it did not stop her fight for equality.Victoria's epic story, set in the late 1800s, comes to life in a modern, fictional style, while staying true to the actual words and views of the many well-known characters. ...more", if you have a heart if you have a soul karen hicks the coming woman will make you fall in love with victoria woodhull kinky friedman author and governor of the heart of texas what kind of confidence would it take for a woman to buck the old boy s club of politics in more than years pre hillary there was victoria woodhull this book takes you back with a if you have a heart if you have a soul karen hicks the coming woman will make you fall in love with victoria woodhull kinky friedman author and governor of the heart of texas what kind of confidence would it take for a woman to buck the old boy s club of politics in more than years pre hillary there was victoria woodhull this book takes you back with a breathtaking present tense bird s eye view into a time when women s liberation was primarily confined to one woman s very capable independent mind i couldn t put it down ruth buzzi golden globe award winner and television hall of fame inductee sadly too many americans have never heard of victoria woodhull let alone learned of her story her revolutionary campaign for the presidency at a time when women weren t even allowed to vote her support for worker s rights or her feminist commitment to equality a century before the official battle over the equal rights amendment but in the coming woman karen hicks brings woodhull s efforts to life and reminds us that some of our nation s greatest figures aren t always featured in the history books it is a riveting account of an amazing woman and her struggle for justice and human dignity told in an engaging and eminently readable style tim wise author white like me reflections on race from a privileged son the coming woman is a novel based on the life of feminist victoria woodhull the first woman to run for u s president years before women could even vote running for president wasn t victoria s only first as a woman she was also the first to own a successful wall street firm the first to publish a successful national newspaper and the first to head the two million member spiritualist association she was the first woman to enter the senate judiciary committee chambers to petition for woman s suffrage her argument changing the entire focus of the suffragist movement by pointing out that the th and th amendments already gave women the vote in her campaign for the presidency victoria woodhull boldly addressed many of the issues we still face today equal pay for equal work freedom in love corporate greed and political corruption fueled by powerful lobbyists and the increasing disparity between the rich and the poor to name only a few her outspoken and common sense ideas may shed a new perspective on the parallel conundrums of today s world this bold beautiful and sexually progressive woman dared to take on society and religion to make an example of the hypocrisy in what mark twain dubbed the gilded age she exposed the extramarital affairs of the most popular religious figure of the day henry ward beecher this led to her persecution and imprisonment and the longest most infamous trial of the th century but it did not stop her fight for equality victoria s epic story set in the late s comes to life in a modern fictional style while staying true to the actual words and views of the many well known characters more,Unknown
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,"For readers of Laura Hillenbrand's Seabiscuit and Unbroken, the dramatic story of the American rowing team that stunned the world at Hitler's 1936 Berlin Olympics Daniel James Brown’s robust book tells the story of the University of Washington’s 1936 eight-oar crew and their epic quest for an Olympic gold medal, a team that transformed the sport and grabbed the attention o For readers of Laura Hillenbrand's Seabiscuit and Unbroken, the dramatic story of the American rowing team that stunned the world at Hitler's 1936 Berlin Olympics Daniel James Brown’s robust book tells the story of the University of Washington’s 1936 eight-oar crew and their epic quest for an Olympic gold medal, a team that transformed the sport and grabbed the attention of millions of Americans. The sons of loggers, shipyard workers, and farmers, the boys defeated elite rivals first from eastern and British universities and finally the German crew rowing for Adolf Hitler in the Olympic games in Berlin, 1936. The emotional heart of the story lies with one rower, Joe Rantz, a teenager without family or prospects, who rows not for glory, but to regain his shattered self-regard and to find a place he can call home. The crew is assembled  by an enigmatic coach and mentored by a visionary, eccentric British boat builder, but it is their trust in each other that makes them a victorious team. They remind the country of what can be done when everyone quite literally pulls together—a perfect melding of commitment, determination, and optimism. Drawing on the boys’ own diaries and journals, their photos and memories of a once-in-a-lifetime shared dream, The Boys in the Boat is an irresistible story about beating the odds and finding hope in the most desperate of times—the improbable, intimate story of nine working-class boys from the American west who, in the depths of the Great Depression, showed the world what true grit really meant. It will appeal to readers of Erik Larson, Timothy Egan, James Bradley, and David Halberstam's The Amateurs. ...more",for readers of laura hillenbrand s seabiscuit and unbroken the dramatic story of the american rowing team that stunned the world at hitler s berlin olympics daniel james brown s robust book tells the story of the university of washington s eight oar crew and their epic quest for an olympic gold medal a team that transformed the sport and grabbed the attention o for readers of laura hillenbrand s seabiscuit and unbroken the dramatic story of the american rowing team that stunned the world at hitler s berlin olympics daniel james brown s robust book tells the story of the university of washington s eight oar crew and their epic quest for an olympic gold medal a team that transformed the sport and grabbed the attention of millions of americans the sons of loggers shipyard workers and farmers the boys defeated elite rivals first from eastern and british universities and finally the german crew rowing for adolf hitler in the olympic games in berlin the emotional heart of the story lies with one rower joe rantz a teenager without family or prospects who rows not for glory but to regain his shattered self regard and to find a place he can call home the crew is assembled by an enigmatic coach and mentored by a visionary eccentric british boat builder but it is their trust in each other that makes them a victorious team they remind the country of what can be done when everyone quite literally pulls together a perfect melding of commitment determination and optimism drawing on the boys own diaries and journals their photos and memories of a once in a lifetime shared dream the boys in the boat is an irresistible story about beating the odds and finding hope in the most desperate of times the improbable intimate story of nine working class boys from the american west who in the depths of the great depression showed the world what true grit really meant it will appeal to readers of erik larson timothy egan james bradley and david halberstam s the amateurs more,Whizbooks
The Black Maria,52.15,1,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,"Praise for Aracelis Girmay:""[Girmay's] every loss—she calls them estrangements—is a yearning for connection across time and place; her every fragment is a bulwark against ruin."" — O, The Oprah Magazine ""In Aracelis Girmay we have a poet who collects, polishes, and shares stories with such brilliant invention, tenderness, and intellectual liveliness that it is understandabl Praise for Aracelis Girmay:""[Girmay's] every loss—she calls them estrangements—is a yearning for connection across time and place; her every fragment is a bulwark against ruin."" — O, The Oprah Magazine ""In Aracelis Girmay we have a poet who collects, polishes, and shares stories with such brilliant invention, tenderness, and intellectual liveliness that it is understandable that we think of her as the blessed curator of our collective histories. There is in her art the vulnerability of one who lives inside of the stories that she gathers in this remarkable collection. Her poems set off alarms even as they transform the world she inhabits, showing us, in the process, exactly what she asks of Romare Bearden’s art: ‘…how not to // assign all blackness near the sea / a captivity.’ This is one of the many sweet contradictions in the black maria, which ‘is a black flag / wounding the pastoral.’ I am deeply thankful that we have a poet of her unique and singular talent writing today."" —Kwame DawesTaking its name from the moon's dark plains, misidentified as seas by early astronomers, the black maria investigates African diasporic histories, the consequences of racism within American culture, and the question of human identity. Central to this project is a desire to recognize the lives of Eritrean refugees who have been made invisible by years of immigration crisis, refugee status, exile, and resulting statelessness. The recipient of a 2015 Whiting Award for Poetry, Girmay's newest collection elegizes and celebrates life, while wrestling with the humanistic notion of seeing beyond: seeing violence, seeing grace, and seeing each other better.""to the sea""great storage house, historyon which we rode, we touchedthe brief pulse of your flutteringpages, spelled with salt & life,your rage, your indifferenceyour gentleness washing our feet,all of you going onwhether or not we live,to you we bring our carnationsyellow & pink, how they floatlike bright sentences atopyour memory's dark hairAracelis Girmay is the author of three poetry collections, the black maria; Kingdom Animalia, which won the Isabella Gardner Award and was a finalist for the NBCC Award; and Teeth. The recipient of a 2015 Whiting Award, she has received grants and fellowships from the Jerome, Cave Canem, and Watson foundations, as well as Civitella Ranieri and the NEA. She currently teaches at Hampshire College's School for Interdisciplinary Arts and in Drew University's low residency MFA program. Originally from Santa Ana, California, she splits her time between New York and Amherst, Massachusetts. ...more",praise for aracelis girmay girmay s every loss she calls them estrangements is a yearning for connection across time and place her every fragment is a bulwark against ruin o the oprah magazine in aracelis girmay we have a poet who collects polishes and shares stories with such brilliant invention tenderness and intellectual liveliness that it is understandabl praise for aracelis girmay girmay s every loss she calls them estrangements is a yearning for connection across time and place her every fragment is a bulwark against ruin o the oprah magazine in aracelis girmay we have a poet who collects polishes and shares stories with such brilliant invention tenderness and intellectual liveliness that it is understandable that we think of her as the blessed curator of our collective histories there is in her art the vulnerability of one who lives inside of the stories that she gathers in this remarkable collection her poems set off alarms even as they transform the world she inhabits showing us in the process exactly what she asks of romare bearden s art how not to assign all blackness near the sea a captivity this is one of the many sweet contradictions in the black maria which is a black flag wounding the pastoral i am deeply thankful that we have a poet of her unique and singular talent writing today kwame dawestaking its name from the moon s dark plains misidentified as seas by early astronomers the black maria investigates african diasporic histories the consequences of racism within american culture and the question of human identity central to this project is a desire to recognize the lives of eritrean refugees who have been made invisible by years of immigration crisis refugee status exile and resulting statelessness the recipient of a whiting award for poetry girmay s newest collection elegizes and celebrates life while wrestling with the humanistic notion of seeing beyond seeing violence seeing grace and seeing each other better to the sea great storage house historyon which we rode we touchedthe brief pulse of your flutteringpages spelled with salt life your rage your indifferenceyour gentleness washing our feet all of you going onwhether or not we live to you we bring our carnationsyellow pink how they floatlike bright sentences atopyour memory s dark hairaracelis girmay is the author of three poetry collections the black maria kingdom animalia which won the isabella gardner award and was a finalist for the nbcc award and teeth the recipient of a whiting award she has received grants and fellowships from the jerome cave canem and watson foundations as well as civitella ranieri and the nea she currently teaches at hampshire college s school for interdisciplinary arts and in drew university s low residency mfa program originally from santa ana california she splits her time between new york and amherst massachusetts more,Aracelis Girmay
